patent,country,url,date_submitted,date_issued,title,wikidata,inventor,assignee,cpc,collections
US7784,US,https://patents.google.com/patent/US7784A/en,,1850-11-19,Improvement in Photographic Pictures on Glass,http://www.wikidata.org/entity/Q73408160,Frederick Langenheim,,G02B27/025,WestheimerF7
US10225,US,https://patents.google.com/patent/US10225A/en,,1853-11-15,Improvement in Daguerreotype Apparatus,http://www.wikidata.org/entity/Q73421278,James Brown,,G03B15/06,WestheimerF7
US17152,US,https://patents.google.com/patent/US17152A/en,,1857-04-28,"Preparation of Photographic Pictures, Engravings, & C.",http://www.wikidata.org/entity/Q73428996,Samuel Dwight Humphrey,,B41M5/10; Y10T428/24901; Y10T428/315,WestheimerF7
US20213,US,https://patents.google.com/patent/US20213A/en,,1858-05-11,Improvement in Compound Photographs,http://www.wikidata.org/entity/Q73421283,Thomas Miltenberger,,G03B27/735; G03F7/70291,WestheimerF7
US25540,US,https://patents.google.com/patent/US25540A/en,,1859-09-20,Photographic Printing Machine,http://www.wikidata.org/entity/Q73423063,Charles H. Fontayne,,G03F7/70358,WestheimerF7
US45449,US,https://patents.google.com/patent/US45449A/en,,1864-12-13,Apparatus for Producing Scenic Effects,http://www.wikidata.org/entity/Q73585393,William Callcott,,A63J1/02,HinelineProcess; WestheimerF7
US125522,US,https://patents.google.com/patent/US125522A/en,,1872-04-09,Improvement in Photographic Backgrounds,http://www.wikidata.org/entity/Q73429004,Daniel Bendann; David Bendann,,G03F7/70466; Y10S430/152; Y10S430/153,WestheimerF7
US127032,US,https://patents.google.com/patent/US127032A/en,,1872-05-21,Improvement in the Use of Caseine for Making Printer's Blocks,http://www.wikidata.org/entity/Q73421289,Thomas James Denne,August Hentschel,G03F7/04,WestheimerF7
US128832,US,https://patents.google.com/patent/US128832A/en,1872-07-09,1872-07-09,Improvement in Photographic Cameras,http://www.wikidata.org/entity/Q73421312,Charles A. Waterbury,,G03B2217/241,WestheimerF7
US133394,US,https://patents.google.com/patent/US133394A/en,1872-11-26,1872-11-26,Improvement in Photographic Cameras,http://www.wikidata.org/entity/Q73421313,Charles A. Waterbury,,G03G15/234,WestheimerF7
